,lib_organisation,Nb_attack
1305,regulatoryreform,4
1306,avatar,4
1307,scaic,4
1308,dlink,4
1309,descon,4
1310,jack,4
1311,ans,4
1312,exam,4
1313,interlar,4
1314,thebluemonkey,4
1315,west,4
1316,htm,4
1317,weather,4
1318,roquemore,4
1319,ftp2,4
1320,area51,4
1321,freezencarttemplates,4
1322,online-casino,4
1323,premiosfutve,4
1324,wyenet,4
1325,photographics,4
1326,dating,4
1327,ecybersandiego,4
1328,colombia,4
1329,tiger,4
1330,jacksonholebuilder,4
1331,groupresp,4
1332,jackandjill,4
1333,linux1,4
1334,ginetta,4
1335,archer,4
1336,ola,4
1337,lg,4
1338,covib,4
1339,sia,3
1340,parmalat,3
1341,161,3
1342,cibernetica,3
1343,007,3
1344,coc,3
1345,netserver,3
1346,bistrojetaime,3
1347,nst,3
1348,linux01,3
1349,accentphotographybygil,3
1350,our,3
1351,hls,3
1352,eclipse,3
1353,classweb,3
1354,guam,3
1355,lake-music,3
1356,piedade,3
1357,villardeciervos,3
1358,latexsr,3
1359,aegee,3
1360,semigat,3
1361,gowentgone,3
1362,eeehomes,3
1363,v-audio,3
1364,gummi-metall,3
1365,devitostudio,3
1366,puglia,3
1367,dsw,3
1368,deutsch,3
1369,analytics,3
1370,jp,3
1371,aba,3
1372,pracsmart,3
1373,maquinarias,3
1374,ntac,3
1375,bishopscourthotel,3
1376,architecture,3
1377,esp,3
1378,kk,3
1379,ecuarural,3
1380,fanpardaz,3
1381,presidencia,3
1382,brasitec,3
1383,gabriel,3
1384,ecom,3
1385,nankai,3
1386,sawa,3
1387,interprop,3
1388,zsjy,3
1389,byc,3
1390,coeart,3
1391,cnet,3
1392,stage1,3
1393,onyxagency,3
1394,cpe,3
1395,valleyresale,3
1396,rad,3
1397,zendegisalem,3
1398,crecedevenezuela,3
1399,inoac,3
1400,hazaertphotography,3
1401,prs,3
1402,priekopa,3
1403,phantom,3
1404,222,3
1405,sr,3
1406,rallyemarilia,3
1407,galactichub,3
1408,slapublishing,3
1409,abm,3
1410,chateaudemauves,3
1411,lmc,3
1412,digisports,3
1413,abet,3
1414,krystalcomplaints,3
1415,posta,3
1416,toxicgasscrubbers,3
1417,nasaa,3
1418,kids,3
1419,16838,3
1420,umbria,3
1421,iup,3
1422,nygatour,3
1423,bookstore,3
1424,atenhost,3
1425,phplist,3
1426,bijdevaateprojekt,3
1427,upt,3
1428,smtp2,3
1429,brad,3
1430,humas,3
1431,panlegisllc,3
1432,hsevents,3
1433,igs,3
1434,anameinaframe,3
1435,teambuildingkenya,3
1436,worldwidewouter,3
1437,zone,3
1438,senior,3
1439,ipa,3
1440,lameloise,3
1441,pop3,3
1442,tjfolio,3
1443,spike,3
1444,touristshop24,3
1445,cliffordcrane,3
1446,eperformancevideo,3
1447,victoria,3
1448,sweetway,3
1449,phuket,3
1450,airnunavut,3
1451,shipping,3
1452,indiansailors,3
1453,cs2,3
1454,univalle,3
1455,corpac,3
1456,elecciones,3
1457,labor,3
1458,usanewhomes,3
1459,nationwidebyowner,3
1460,baldwin,3
1461,lawsee,3
