,lib_attacker,Nb_attack
997,jo &amp; tu team,22
998,boy hacker,22
999,bh.gnu.linux,22
1000,back@track,22
1001,artech,22
1002,alfayez hack,22
1003,apocalypse,22
1004,3steria,22
1005,ah-crew,22
1006,3vil 3y3,21
1007,anarchyboy,21
1008,amorrous_nope,21
1009,badi,21
1010,blowback,21
1011,bl4f,21
1012,dr.jr7,21
1013,dr.dasher,21
1014,dimension - x,21
1015,dexmod,21
1016,dch,21
1017,jester,21
1018,juni0rk1ng,21
1019,klonix,21
1020,kkk1337,21
1021,kyzser,21
1022,mc.prof,21
1023,erreur404,21
1024,fastdjmp3,21
1025,furty,21
1026,hack00x killers,21
1027,hacked by mr.sc,21
1028,grs,21
1029,mizt3rio_uz,21
1030,nob0dy,21
1031,otakusboy,21
1032,p4kurd-team,21
1033,paggy,21
1034,q8 h4x0r,21
1035,ryan,21
1036,sabu,21
1037,redguard,21
1038,redrolix,21
1039,st@rext,21
1040,turkishdefacer,21
1041,the scythe,21
1042,tech,21
1043,yihat,21
1044,xwelijr,20
1045,xmafia,20
1046,xmajesty,20
1047,viruskrew,20
1048,team infinity,20
1049,ukaplus,20
1050,tuyul`ny4m4r`j4nt4n,20
1051,shazam,20
1052,revolle,20
1053,pro,20
1054,patr0n,20
1055,mr.galow,20
1056,mr galeed,20
1057,mr.d4rk,20
1058,grep,20
1059,hellghost,20
1060,genius najd,20
1061,gbs,20
1062,essaji,20
1063,f0ul,20
1064,ejram 7rb,20
1065,endowed people,20
1066,mckay,20
1067,m47r1x,20
1068,m0m0,20
1069,last attack,20
1070,kdms,20
1071,kalashnikov,20
1072,jefinho,20
1073,jah4x0rs,20
1074,demoniados.br,20
1075,d4nb4r,20
1076,d3triment@l,20
1077,digitalenemy,20
1078,cyber_bouh,20
1079,crayon and vex,20
1080,baxim_msn,20
1081,az sn1ff3r,20
1082,amen,20
1083,alligator,20
1084,algeriano,20
1085,almajhool-hacker,19
1086,arianom,19
1087,ahmdosa hacker,19
1088,acgcrew,19
1089,basel vip,19
1090,bitspsec,19
1091,cenacle,19
1092,c0nik,19
1093,digital boys underground team,19
1094,digital insanity,19
1095,drxx,19
1096,danger,19
1097,dat,19
1098,jeen.hacker,19
1099,inx,19
1100,keydet79,19
1101,klachnikove,19
1102,killer team,19
1103,leme,19
1104,hmbp-02,19
1105,h4ckz.net,19
1106,hacked by worms libyan hackers (wlh,19
1107,mr.mll,19
1108,qabandi,19
1109,s4t4n1cl0rd,19
1110,s.v crew,19
1111,shellc0d3,19
1112,shadow lords,19
1113,sky_danqer,19
1114,sniperb|fallaga,19
1115,typh00n,19
1116,ulow,19
1117,un&#039;config,19
1118,thecrashers,19
1119,z3r0c0ld,19
1120,y0ung-th1ef,18
1121,xhackertn,18
1122,wolf hell,18
1123,st4z,18
1124,starturk.org,18
1125,sindbad,18
1126,sm0ked crew,18
1127,sniper alert,18
1128,sh4dow fre4k,18
1129,sigmaxdz,18
1130,renegados,18
1131,rm-rf,18
1132,rifqi79,18
1133,rieidextter,18
1134,realist,18
1135,r@15ha,18
1136,project china,18
1137,psych0,18
1138,osm@n,18
1139,mist,18
1140,n0fun,18
1141,mr-didi,18
1142,gr@bix,18
1143,humbleone,18
1144,dz-ghost,18
1145,gayus pujanggalers,18
1146,g.o.h,18
1147,freebasy,18
1148,le0rex,18
1149,l0whacker,18
1150,madnet,18
1151,mehmet silvanli,18
1152,mavideniz,18
1153,killermind,18
1154,kingsheitan,18
1155,jor1,18
1156,jonod al hacker,18
1157,k0kane,18
1158,inj3ctionhackteam,18
1159,imm0rtal brain,18
1160,inc. c0rp,18
1161,datasurge,18
1162,darkfuneral,18
1163,drumcode,18
1164,chr00t,18
1165,blackjaguar,18
1166,boogz hacker,18
1167,brake^off,18
1168,anti-401 crew,18
1169,alqatari,17
1170,aht-crew,17
1171,adrallica,17
1172,0xff,17
1173,ates0glu,17
1174,dexor,17
1175,devon_dclxvi,17
1176,d4kota,17
1177,kamikaze,17
1178,kardeshackerlar,17
1179,fluffy bunny,17
1180,fenix,17
1181,expworm,17
1182,hbr,17
1183,hallelujah,17
1184,goyhackers,17
1185,mrw8 hacker,17
1186,n0b,17
1187,newbie defacer crew,17
1188,mjhool-hkr,17
1189,misterjooker,17
1190,oldschool,17
1191,ø¨ø±ø§ ø§?ø­?ø,17
1192,prx hacker,17
1193,pr|est,17
1194,piratas.br,17
1195,r00t.br,17
1196,s1r-v1ru5,17
1197,xermes,17
1198,web sabotage,17
1199,uneek tech,17
1200,tmht,16
1201,the killers,16
1202,th3 greek,16
1203,x-boy,16
1204,xoren,16
1205,root haxor,16
1206,secur!ty dr@g0n,16
1207,r3dd3v1l,16
1208,se-wa-te,16
1209,silahsiz kuvve,16
1210,snoby,16
1211,pal x hacker,16
1212,pr0xys,16
1213,prof.code,16
1214,ø§ø¬ø±ø§ø§? ??ø,16
1215,os-charles,16
1216,origin_angel,16
1217,p3ubz,16
1218,mr.hes@m,16
1219,mr.r3boob / hacker,16
1220,god security team,16
1221,hard luck team,16
1222,i.o.n,16
1223,efex09,16
1224,emperor,16
1225,fairoos.hrb,16
1226,getlost,16
1227,k[i]ng,16
1228,kryptek,16
1229,d0sed,16
1230,death knights,16
1231,dr.hacking.web,16
1232,cobain,16
1233,crim3.br,16
1234,cyberlords,16
1235,cybervoxi,16
1236,asmodeus,16
1237,bd black hat,16
1238,bermoudasecurityteam,16
1239,br0k3d,16
1240,æ²?æ²¦.ming,16
1241,ahz-crew,16
1242,ab1i,16
1243,anatoliahack,16
1244,andrei,16
1245,alnjm33,15
1246,alfa team 2012,15
1247,abu hlil,15
1248,by_hacker_ceti,15
1249,arsen,15
1250,cybercriminals,15
1251,cron0s,15
1252,crazy_bit,15
1253,cart00n kids,15
1254,dr.freedom,15
1255,dr.f9lah,15
1256,dh4nz,15
1257,death_k1ng,15
1258,deltahackingse,15
1259,dark-team,15
1260,ma-hacker,15
1261,maintenance,15
1262,mad-evil,15
1263,kazumbis,15
1264,kintaro,15
1265,gapura,15
1266,fliza,15
1267,forpaxe,15
1268,holyroot,15
1269,hishow0king,15
1270,heroman,15
1271,hbh,15
1272,gl0b4l,15
1273,gurkantr34,15
1274,mongolian defacer team,15
1275,nemesis (ph,15
1276,ohb,15
1277,soyletmez,15
1278,starsky,15
1279,spirit,15
1280,steele,15
1281,syrianspider,15
1282,slw-saulim,15
1283,slimshady,15
1284,sewermouse,15
1285,serialroot,15
1286,r4pleg4l,15
1287,r1qu3,15
1288,redcode,15
1289,security .net,15
1290,sajeen-jeddah,15
1291,s0kket,15
1292,xsn0rk,15
1293,yacine t-h-e,15
1294,xdhox,15
1295,wolf-3nzh,15
1296,wazo,15
1297,uniqu3,15
1298,the freedom,15
1299,team quest,15
1300,t@-z,15
1301,torres,15
1302,top_gun,15
1303,tr|cky,15
1304,turkspwr,15
1305,tr0xit,14
1306,triax,14
1307,trap-set under,14
1308,tirred,14
1309,t0mbst0ne,14
1310,ta-z,14
1311,t3rm!nat0r5,14
1312,team hacer egypt,14
1313,tfk,14
1314,terribleturk,14
1315,usckl,14
1316,white coder,14
1317,volc,14
1318,world of warcr,14
1319,x33k a.k.a v1rux 4u,14
1320,xmors digital,14
1321,zion,14
1322,sch1z0phr3n1c,14
1323,r.o.d crew,14
1324,syntax_error,14
1325,spawn,14
1326,ø§øª ø§?ø±ø¯ø¹ ø§??øºø±ø¨?ø,14
